Modèle,RMSE_CV,R2_CV,MAE_CV,RMSE_Test,R2_Test,MAE_Test
Ridge,0.3843707991224159,0.9484210278399399,0.26564768086609497,0.4464216894333308,0.9325750515654067,0.2737827128669377
Reg. Lineaire,0.3885210884059957,0.9471415766996122,0.25636866799339286,0.4480009992018318,0.9320971481012337,0.2656364696280188
XGBoost,0.43727545503432397,0.9333046550731373,0.32459459435990873,0.47926553683673223,0.9222890083131724,0.331915845619465
SVM (RBF),0.3821462590288112,0.9490633624163761,0.2551501546196944,0.48541691160329675,0.9202813647375067,0.27168267986216244
Random Forest,0.47132542750048395,0.9223860847105543,0.34796452399534844,0.5151841285715585,0.9102044117454404,0.3570437743087173
